Código_Distrito;Designação_Distrito;Código_Concelho;Designação_Concelho;Code_full;Designação_freguesia;blankVotesPercentage;nullVotesPercentage;percentageVoters;Marcelo Rebelo de Sousa;André Ventura;Ana Gomes;Vitorino Silva;Marisa Matias;Tiago Mayan Gonçalves;João Ferreira
1;Aveiro;101;Águeda;10100;Aguada de Cima;1.37;1.2;31.87;67.38;12.02;7.12;3.61;3.18;2.92;1.2
1;Aveiro;101;Águeda;10100;Águeda e Borralha;1.31;0.85;38.96;63.46;11.33;11.44;2.52;3.3;3.24;2.54
1;Aveiro;101;Águeda;10100;Barrô e Aguada de Baixo;1.07;0.99;41.29;68.32;13.28;6.6;3.14;2.56;3.05;0.99
1;Aveiro;101;Águeda;10100;Belazaima do Chão, Castanheira do Vouga e Agadão;2.89;0.36;20.49;69.68;14.08;8.3;1.44;1.44;1.44;0.36
1;Aveiro;101;Águeda;10100;Fermentelos;2.81;1.06;45.98;66.29;12.91;6.76;2.28;3.26;3.42;1.21
1;Aveiro;101;Águeda;10100;Macinhata do Vouga;1.5;1.24;37.63;67.84;10.87;7.77;2.74;3.36;1.94;2.74
1;Aveiro;101;Águeda;10100;Préstimo e Macieira de Alcoba;1.28;0.32;39.97;69.65;12.14;6.71;2.88;3.83;1.92;1.28
1;Aveiro;101;Águeda;10100;Recardães e Espinhel;1.27;0.64;43.98;66.16;11.45;9.75;3.31;2.97;1.91;2.54
1;Aveiro;101;Águeda;10100;Travassô e Óis da Ribeira;1.93;0.87;51.56;70.13;11.46;8.57;2.02;2.02;2.31;0.67
1;Aveiro;101;Águeda;10100;Trofa, Segadães e Lamas do Vouga;1.22;1.11;42.27;65.91;10.49;10.02;2.86;3.09;2.1;3.21
1;Aveiro;101;Águeda;10100;Valongo do Vouga;1.51;0.88;36.96;64.54;12.18;9.72;3.15;3.28;1.64;3.09
1;Aveiro;102;Albergaria-a-Velha;10200;Albergaria-a-Velha e Valmaior;1.77;1.23;40.17;63.95;11.33;9.72;3.22;3.63;2.74;2.4
1;Aveiro;102;Albergaria-a-Velha;10200;Alquerubim;0.73;0.97;40.4;70.13;8.83;8.83;3.99;3.51;1.93;1.09
1;Aveiro;102;Albergaria-a-Velha;10200;Angeja;1.13;1.64;43.57;71;9.58;8.32;2.27;2.4;1.51;2.14
1;Aveiro;102;Albergaria-a-Velha;10200;Branca;0.98;0.78;41.11;69.14;10.89;7.91;2.98;2.83;2.69;1.81
1;Aveiro;102;Albergaria-a-Velha;10200;Ribeira de Fráguas;1.91;0.96;43.06;68.42;9.25;9.57;3.99;2.71;1.91;1.28
1;Aveiro;102;Albergaria-a-Velha;10200;São João de Loure e Frossos;1.64;1.55;45.91;68.82;11.02;7.67;2.93;4.13;1.03;1.21
1;Aveiro;103;Anadia;10300;Amoreira da Gândara, Paredes do Bairro e Ancas;0.84;1.67;43.28;70.05;11.07;6.51;4;2.23;2.23;1.4
1;Aveiro;103;Anadia;10300;Arcos e Mogofores;1.15;0.58;42.87;61.21;10.84;12.16;2.51;4.41;4.08;3.05
1;Aveiro;103;Anadia;10300;Avelãs de Caminho;0.95;1.9;38.68;69.43;9.72;8.53;1.66;3.55;1.66;2.61
1;Aveiro;103;Anadia;10300;Avelãs de Cima;1.32;1.58;40.88;71.77;14.25;5.15;1.32;1.85;1.98;0.79
1;Aveiro;103;Anadia;10300;Moita;1.73;1.39;40.4;68.55;10.17;6.94;2.89;3.35;2.08;2.89
1;Aveiro;103;Anadia;10300;Sangalhos;1.52;0.94;38.43;64.2;13.04;7.46;3.33;3.84;3.41;2.25
1;Aveiro;103;Anadia;10300;São Lourenço do Bairro;0.96;1.2;37.32;69.52;12.05;7.35;2.65;3.13;2.05;1.08
1;Aveiro;103;Anadia;10300;Tamengos, Aguim e Óis do Bairro;1.14;0.76;43.28;69.95;9.61;9.84;1.68;2.44;2.59;1.98
1;Aveiro;103;Anadia;10300;Vila Nova de Monsarros;0.57;1.15;34.21;71.84;6.32;8.24;4.21;2.87;2.87;1.92
1;Aveiro;103;Anadia;10300;Vilarinho do Bairro;1.19;1.19;37.58;69.77;13.78;5.65;2.68;2.48;2.48;0.79
1;Aveiro;104;Arouca;10400;Alvarenga;0.46;0.23;45.04;70.3;12.06;8.12;5.57;1.62;0.46;1.16
1;Aveiro;104;Arouca;10400;Arouca e Burgo;2.17;0.47;44.7;63.87;9.06;11.46;5.14;2.64;3.11;2.08
1;Aveiro;104;Arouca;10400;Cabreiros e Albergaria da Serra;0;1.23;30.57;72.84;6.17;9.88;3.7;2.47;0;3.7
1;Aveiro;104;Arouca;10400;Canelas e Espiunca;0.7;0.23;43.15;67.29;10.98;3.27;10.98;3.27;1.87;1.4
1;Aveiro;104;Arouca;10400;Chave;1.78;0.49;53.05;68.77;8.41;8.25;6.8;2.75;1.46;1.29
